07-28 16:08:35 | Main INFO  |  
|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|
07-28 16:08:35 | Main INFO  |  

[  Ellie �� attiva! :-)  ]

07-28 16:09:04 | Main INFO  |  
|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|
07-28 16:09:04 | Main INFO  |  

[  Ellie 😊😊 attiva! :-)  ]

07-28 16:09:27 | Main INFO  |  ---------------------------------------------------
07-28 16:09:27 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:09:27 | Main INFO  |  Nome: Luca
07-28 16:09:27 | Main INFO  |  Cognome: Martinelli
07-28 16:09:27 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:09:27 | Main INFO  |  Testo: 😑
07-28 16:09:27 | Main INFO  |  ---------------------------------------------------
07-28 16:09:27 | Main INFO  |  Thread 0 Partito!
07-28 16:09:28 | Main INFO  |  Risposta non trovata, mando richiesta a bot host
07-28 16:09:28 | Main INFO  |  Risposta di Ellie a Martins9696 :Qual é sua idade.
07-28 16:11:32 | Main INFO  |  ---------------------------------------------------
07-28 16:11:32 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:11:32 | Main INFO  |  Nome: Luca
07-28 16:11:32 | Main INFO  |  Cognome: Martinelli
07-28 16:11:32 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:11:32 | Main INFO  |  Testo: 😘
07-28 16:11:32 | Main INFO  |  ---------------------------------------------------
07-28 16:11:32 | Main INFO  |  Gestisce THREAD 0
07-28 16:11:32 | Main INFO  |  Risposta non trovata, mando richiesta a bot host
07-28 16:11:32 | Main INFO  |  Risposta di Ellie a Martins9696 :Yes.
07-28 16:11:40 | Main INFO  |  ---------------------------------------------------
07-28 16:11:40 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:11:40 | Main INFO  |  Nome: Luca
07-28 16:11:40 | Main INFO  |  Cognome: Martinelli
07-28 16:11:40 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:11:40 | Main INFO  |  Testo: ❤
07-28 16:11:40 | Main INFO  |  ---------------------------------------------------
07-28 16:11:40 | Main INFO  |  Gestisce THREAD 0
07-28 16:11:41 | Main INFO  |  Risposta di Ellie a Martins9696 :Quanto amore ❤
07-28 16:13:01 | Main INFO  |  ---------------------------------------------------
07-28 16:13:01 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
07-28 16:13:01 | Main INFO  |  Nome: Luca
07-28 16:13:01 | Main INFO  |  Cognome: Martinelli
07-28 16:13:01 | Main INFO  |  Username: Martins9696 (115949778)
07-28 16:13:01 | Main INFO  |  Testo: ❤💐💐😄😄💐💐❤
07-28 16:13:01 | Main INFO  |  ---------------------------------------------------
07-28 16:13:01 | Main INFO  |  Gestisce THREAD 0
07-28 16:13:03 | Main INFO  |  Risposta non trovata, mando richiesta a bot host
07-28 16:13:05 | Main INFO  |  Risposta di Ellie a Martins9696 :Te amo.
