10-26 16:01:18 | Main INFO  |  
|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|
10-26 16:01:18 | Main INFO  |  

[  Ellie è attiva! :-)  ]

10-26 16:01:36 | Main INFO  |  ---------------------------------------------------
10-26 16:01:36 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
10-26 16:01:36 | Main INFO  |  Nome: Luca
10-26 16:01:36 | Main INFO  |  Cognome: Martinelli
10-26 16:01:36 | Main INFO  |  Username: Martins9696 (115949778)
10-26 16:01:36 | Main INFO  |  Testo: /user
10-26 16:01:36 | Main INFO  |  ---------------------------------------------------
10-26 16:01:36 | Main INFO  |  Thread 0 Partito!
10-26 16:01:44 | Main INFO  |  ---------------------------------------------------
10-26 16:01:44 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
10-26 16:01:44 | Main INFO  |  Nome: Luca
10-26 16:01:44 | Main INFO  |  Cognome: Martinelli
10-26 16:01:44 | Main INFO  |  Username: Martins9696 (115949778)
10-26 16:01:44 | Main INFO  |  Testo: Scoiattolo123
10-26 16:01:44 | Main INFO  |  ---------------------------------------------------
10-26 16:01:44 | Main INFO  |  ACCESSO USER CONSENTITO A: Martins9696 - id(115949778)
10-26 16:01:44 | Main INFO  |  Risposta di Ellie a Martins9696 :Hey, ciao Gaia, sono contenta di sentirti 😊 - ricorda che per informazioni sulle tue funzioni da utente devi digitare il comando /userhelp
10-26 16:02:02 | Main INFO  |  ---------------------------------------------------
10-26 16:02:02 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
10-26 16:02:02 | Main INFO  |  Nome: Luca
10-26 16:02:02 | Main INFO  |  Cognome: Martinelli
10-26 16:02:02 | Main INFO  |  Username: Martins9696 (115949778)
10-26 16:02:02 | Main INFO  |  Testo: /portino martins prova
10-26 16:02:02 | Main INFO  |  ---------------------------------------------------
10-26 16:02:02 | Main INFO  |  Risposta di Ellie a Martins9696 :Comando /portino non riconosciuto, per una lista dei comandi digita /help
10-26 16:02:25 | Main INFO  |  ---------------------------------------------------
10-26 16:02:25 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
10-26 16:02:25 | Main INFO  |  Nome: Luca
10-26 16:02:25 | Main INFO  |  Cognome: Martinelli
10-26 16:02:25 | Main INFO  |  Username: Martins9696 (115949778)
10-26 16:02:25 | Main INFO  |  Testo: /postino martins prova
10-26 16:02:25 | Main INFO  |  ---------------------------------------------------
10-26 16:04:15 | Main INFO  |  
|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|
10-26 16:04:15 | Main INFO  |  

[  Ellie è attiva! :-)  ]

10-26 16:04:58 | Main INFO  |  ---------------------------------------------------
10-26 16:04:58 | Main INFO  |  -----------NUOVO---MESSAGGIO---RICEVUTO------------
10-26 16:04:58 | Main INFO  |  Nome: Luca
10-26 16:04:58 | Main INFO  |  Cognome: Martinelli
10-26 16:04:58 | Main INFO  |  Username: Martins9696 (115949778)
10-26 16:04:58 | Main INFO  |  Testo: /postino martins prova
10-26 16:04:58 | Main INFO  |  ---------------------------------------------------
10-26 16:04:58 | Main INFO  |  Thread 0 Partito!
10-26 16:05:06 | Main INFO  |  Risposta di Ellie a Martins9696 :Scusa, ma non hai il privilegio necessario per questo comando.
Accedi tramite /user o /admin
10-26 16:05:15 | Main INFO  |  
|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|
10-26 16:05:15 | Main INFO  |  

[  Ellie è attiva! :-)  ]

10-26 16:05:18 | Main INFO  |  ---------------------------------------------------
